

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 3; fitness: 10.0; player life: 0; enemy life: 90.0; time: 330
RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 523

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 294

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 82

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 392

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 240

RUN: run status: enemy: 3; fitness: 46.0; player life: 0; enemy life: 50.0; time: 222

RUN: run status: enemy: 7; fitness: 28.0; player life: 0; enemy life: 70.0; time: 315

RUN: run status: enemy: 4; fitness: 28.0; player life: 0; enemy life: 70.0; time: 226

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 213

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 26

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 340

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 313

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 216

RUN: run status: enemy: 3; fitness: 19.0; player life: 0; enemy life: 80.0; time: 395

RUN: run status: enemy: 7; fitness: 19.0; player life: 0; enemy life: 80.0; time: 310

RUN: run status: enemy: 4; fitness: 10.0; player life: 0; enemy life: 90.0; time: 355

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 406

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 423

RUN: run status: enemy: 3; fitness: 55.0; player life: 0; enemy life: 40.0; time: 262

RUN: run status: enemy: 7; fitness: 73.0; player life: 0; enemy life: 20.0; time: 252

RUN: run status: enemy: 4; fitness: 10.0; player life: 0; enemy life: 90.0; time: 304

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 297

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 10.0; player life: 0; enemy life: 90.0; time: 395

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 333

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 241

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 299

RUN: run status: enemy: 3; fitness: 82.0; player life: 0; enemy life: 10.0; time: 587

RUN: run status: enemy: 7; fitness: 10.0; player life: 0; enemy life: 90.0; time: 15

RUN: run status: enemy: 4; fitness: 19.0; player life: 0; enemy life: 80.0; time: 241

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 318

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 110

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 763

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 22

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 203

RUN: run status: enemy: 3; fitness: 10.0; player life: 0; enemy life: 90.0; time: 297

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 10.0; player life: 0; enemy life: 90.0; time: 635

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 406

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 5.72000000000003; player life: 47.2000000000003; enemy life: 100; time: 1500

RUN: run status: enemy: 3; fitness: 46.0; player life: 0; enemy life: 50.0; time: 404

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 92.12000000000002; player life: 11.20000000000023; enemy life: 0; time: 1141

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 157

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 207

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 101

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 316

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 294

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 313

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 761

RUN: run status: enemy: 3; fitness: 37.0; player life: 0; enemy life: 60.0; time: 341

RUN: run status: enemy: 7; fitness: 73.0; player life: 0; enemy life: 20.0; time: 307

RUN: run status: enemy: 4; fitness: 19.0; player life: 0; enemy life: 80.0; time: 218

RUN: run status: enemy: 3; fitness: 28.0; player life: 0; enemy life: 70.0; time: 336

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 73.0; player life: 0; enemy life: 20.0; time: 947

RUN: run status: enemy: 3; fitness: 10.0; player life: 0; enemy life: 90.0; time: 276

RUN: run status: enemy: 7; fitness: 10.0; player life: 0; enemy life: 90.0; time: 226

RUN: run status: enemy: 4; fitness: 28.0; player life: 0; enemy life: 70.0; time: 218

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 464

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 44

RUN: run status: enemy: 4; fitness: 28.0; player life: 0; enemy life: 70.0; time: 573

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 398

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 756

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 213

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 270

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 237

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 203

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 340

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 213

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 442

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 3; fitness: 37.0; player life: 0; enemy life: 60.0; time: 211

RUN: run status: enemy: 7; fitness: 55.0; player life: 0; enemy life: 40.0; time: 415

RUN: run status: enemy: 4; fitness: 19.0; player life: 0; enemy life: 80.0; time: 196

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 144

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 261

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 207

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 270

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 318

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 288

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 277

RUN: run status: enemy: 7; fitness: 37.0; player life: 0; enemy life: 60.0; time: 243

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 208

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 125

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 203

RUN: run status: enemy: 3; fitness: 82.0; player life: 0; enemy life: 10.0; time: 614

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 20

RUN: run status: enemy: 4; fitness: 37.0; player life: 0; enemy life: 60.0; time: 305

RUN: run status: enemy: 3; fitness: 73.0; player life: 0; enemy life: 20.0; time: 262

RUN: run status: enemy: 7; fitness: 73.0; player life: 0; enemy life: 20.0; time: 304

RUN: run status: enemy: 4; fitness: 37.0; player life: 0; enemy life: 60.0; time: 279

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 157

RUN: run status: enemy: 3; fitness: 37.0; player life: 0; enemy life: 60.0; time: 335

RUN: run status: enemy: 7; fitness: 73.0; player life: 0; enemy life: 20.0; time: 307

RUN: run status: enemy: 4; fitness: 28.0; player life: 0; enemy life: 70.0; time: 205

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 553

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 1223

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 340

RUN: run status: enemy: 7; fitness: 46.0; player life: 0; enemy life: 50.0; time: 307

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 212

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 230

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 3; fitness: 10.0; player life: 0; enemy life: 90.0; time: 295

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 10.0; player life: 0; enemy life: 90.0; time: 541

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 303

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 212

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 207

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 85

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 125

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 176

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 445

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 16

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 291

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 309

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 232

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 264

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 208

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 260

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 306

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 708

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 157

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 270

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 314

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 205

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 93

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 129

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 316

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 294

RUN: run status: enemy: 3; fitness: 28.0; player life: 0; enemy life: 70.0; time: 86

RUN: run status: enemy: 7; fitness: 10.0; player life: 0; enemy life: 90.0; time: 70

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 484

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 316

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 157

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 213

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 675

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 1223

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 400

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 226

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 129

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 528

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 5.48000000000003; player life: 44.800000000000296; enemy life: 100; time: 1500

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 3.020000000000024; player life: 20.200000000000237; enemy life: 100; time: 1500

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 274

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 314

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 287

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 95

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 314

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 234

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 210

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 207

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 316

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 95

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 508

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 32

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 203

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 300

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 5.72000000000003; player life: 47.2000000000003; enemy life: 100; time: 1500

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 177

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 211

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 16

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 294

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 129

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 330

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 315

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 155

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 17

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 230

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 217

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 221

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 316

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 129

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 464

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 49

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 571

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 462

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 1.1600000000000235; player life: 1.6000000000002341; enemy life: 100; time: 1500

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 340

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 18

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 350

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 372

RUN: run status: enemy: 7; fitness: 19.0; player life: 0; enemy life: 80.0; time: 237

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 213

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 311

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 203

RUN: run status: enemy: 3; fitness: 10.0; player life: 0; enemy life: 90.0; time: 299

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 423

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 236

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 203

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 340

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 223

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 222

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

